     Wavelength 	    Spectrum #1 	 
       873.0521 	        0.50431 	 
       874.2725 	        0.50457 	 
       875.4927 	        0.50484 	 
       876.7129 	        0.50513 	 
       877.9331 	        0.50545 	 
       879.1531 	        0.50577 	 
       880.3731 	        0.50608 	 
        881.593 	         0.5064 	 
       882.8127 	        0.50676 	 
       884.0324 	        0.50713 	 
        885.252 	        0.50751 	 
       886.4715 	        0.50786 	 
       887.6909 	        0.50821 	 
       888.9103 	        0.50857 	 
       890.1295 	        0.50896 	 
       891.3486 	        0.50937 	 
       892.5676 	        0.50978 	 
       893.7865 	         0.5102 	 
       895.0052 	         0.5106 	 
       896.2239 	        0.51098 	 
       897.4425 	        0.51135 	 
       898.6609 	        0.51173 	 
       899.8792 	         0.5121 	 
       901.0975 	        0.51243 	 
       902.3155 	        0.51275 	 
       903.5335 	        0.51305 	 
       904.7513 	        0.51338 	 
       905.9691 	        0.51373 	 
       907.1866 	        0.51411 	 
       908.4041 	        0.51449 	 
       909.6214 	        0.51484 	 
       910.8386 	        0.51517 	 
       912.0557 	        0.51547 	 
       913.2726 	        0.51578 	 
       914.4893 	         0.5161 	 
        915.706 	        0.51641 	 
       916.9225 	        0.51671 	 
       918.1388 	          0.517 	 
        919.355 	        0.51727 	 
        920.571 	         0.5175 	 
       921.7869 	        0.51774 	 
       923.0026 	          0.518 	 
       924.2182 	        0.51827 	 
       925.4336 	        0.51856 	 
       926.6489 	        0.51888 	 
        927.864 	        0.51918 	 
       929.0789 	        0.51937 	 
       930.2937 	        0.51938 	 
       931.5083 	        0.51917 	 
       932.7227 	        0.51881 	 
       933.9369 	        0.51842 	 
        935.151 	        0.51818 	 
       936.3649 	        0.51824 	 
       937.5786 	        0.51864 	 
       938.7922 	        0.51926 	 
       940.0055 	         0.5199 	 
       941.2187 	        0.52041 	 
       942.4317 	        0.52075 	 
       943.6445 	        0.52091 	 
       944.8571 	        0.52097 	 
       946.0695 	        0.52099 	 
       947.2817 	        0.52104 	 
       948.4938 	        0.52116 	 
       949.7056 	        0.52136 	 
       950.9172 	         0.5216 	 
       952.1287 	        0.52178 	 
       953.3399 	         0.5219 	 
       954.5509 	        0.52204 	 
       955.7617 	        0.52227 	 
       956.9723 	        0.52255 	 
       958.1827 	         0.5228 	 
       959.3929 	        0.52295 	 
       960.6028 	        0.52305 	 
       961.8125 	        0.52314 	 
       963.0221 	        0.52325 	 
       964.2314 	         0.5234 	 
       965.4404 	        0.52359 	 
       966.6493 	        0.52384 	 
       967.8579 	        0.52412 	 
       969.0663 	        0.52434 	 
       970.2744 	        0.52445 	 
       971.4824 	        0.52448 	 
       972.6901 	        0.52448 	 
       973.8975 	        0.52449 	 
       975.1047 	        0.52451 	 
       976.3117 	        0.52452 	 
       977.5184 	        0.52452 	 
       978.7249 	        0.52452 	 
       979.9311 	        0.52451 	 
       981.1371 	        0.52449 	 
       982.3428 	        0.52449 	 
       983.5483 	        0.52456 	 
       984.7535 	        0.52471 	 
       985.9585 	        0.52484 	 
       987.1632 	        0.52488 	 
       988.3676 	         0.5248 	 
       989.5718 	        0.52466 	 
       990.7757 	        0.52453 	 
       991.9794 	        0.52447 	 
       993.1827 	        0.52443 	 
